carburant,annee,mois,prix_moyen_by_litre
E10,2009,1,
E10,2009,2,
E10,2009,3,
E10,2009,4,1.18
E10,2009,5,1.205
E10,2009,6,1.259
E10,2009,7,1.235
E10,2009,8,1.259
E10,2009,9,1.239
E10,2009,10,1.238
E10,2009,11,1.264
E10,2009,12,1.26
E10,2010,1,1.3
E10,2010,2,1.315
E10,2010,3,1.356
E10,2010,4,1.384
E10,2010,5,1.388
E10,2010,6,1.375
E10,2010,7,1.356
E10,2010,8,1.347
E10,2010,9,1.345
E10,2010,10,1.36
E10,2010,11,1.374
E10,2010,12,1.416
E10,2011,1,1.47
E10,2011,2,1.476
E10,2011,3,1.516
E10,2011,4,1.541
E10,2011,5,1.548
E10,2011,6,1.523
E10,2011,7,1.526
E10,2011,8,1.518
E10,2011,9,1.536
E10,2011,10,1.519
E10,2011,11,1.513
E10,2011,12,1.511
E10,2012,1,1.56
E10,2012,2,1.59
E10,2012,3,1.636
E10,2012,4,1.658
E10,2012,5,1.595
E10,2012,6,1.538
E10,2012,7,1.553
E10,2012,8,1.606
E10,2012,9,1.575
E10,2012,10,1.549
E10,2012,11,1.5
E10,2012,12,1.502
E10,2013,1,1.557
E10,2013,2,1.615
E10,2013,3,1.605
E10,2013,4,1.573
E10,2013,5,1.545
E10,2013,6,1.55
E10,2013,7,1.562
E10,2013,8,1.565
E10,2013,9,1.558
E10,2013,10,1.513
E10,2013,11,1.502
E10,2013,12,1.517
E10,2014,1,1.505
E10,2014,2,1.514
E10,2014,3,1.516
E10,2014,4,1.525
E10,2014,5,1.531
E10,2014,6,1.543
E10,2014,7,1.544
E10,2014,8,1.517
E10,2014,9,1.512
E10,2014,10,1.484
E10,2014,11,1.446
E10,2014,12,1.365
E10,2015,1,1.282
E10,2015,2,1.336
E10,2015,3,1.39
E10,2015,4,1.411
E10,2015,5,1.44
E10,2015,6,1.45
E10,2015,7,1.443
E10,2015,8,1.39
E10,2015,9,1.328
E10,2015,10,1.312
E10,2015,11,1.314
E10,2015,12,1.291
E10,2016,1,1.262
E10,2016,2,1.23
E10,2016,3,1.251
E10,2016,4,1.29
E10,2016,5,1.319
E10,2016,6,1.339
E10,2016,7,1.288
E10,2016,8,1.269
E10,2016,9,1.278
E10,2016,10,1.307
E10,2016,11,1.301
E10,2016,12,1.338
E10,2017,1,1.39
E10,2017,2,1.398
E10,2017,3,1.377
E10,2017,4,1.39
E10,2017,5,1.362
E10,2017,6,1.337
E10,2017,7,1.336
E10,2017,8,1.348
E10,2017,9,1.376
E10,2017,10,1.37
E10,2017,11,1.405
E10,2017,12,1.406
E10,2018,1,1.46
E10,2018,2,1.452
E10,2018,3,1.445
E10,2018,4,1.473
E10,2018,5,1.532
E10,2018,6,1.543
E10,2018,7,1.535
E10,2018,8,1.542
E10,2018,9,1.551
E10,2018,10,1.555
E10,2018,11,1.488
E10,2018,12,1.436
E10,2019,1,1.41
E10,2019,2,1.433
E10,2019,3,1.475
E10,2019,4,1.543
E10,2019,5,1.578
E10,2019,6,1.528
E10,2019,7,1.522
E10,2019,8,1.501
E10,2019,9,1.5
E10,2019,10,1.501
E10,2019,11,1.508
E10,2019,12,1.522
E10,2020,1,1.532
E10,2020,2,1.497
E10,2020,3,1.397
E10,2020,4,1.299
E10,2020,5,1.28
E10,2020,6,1.328
E10,2020,7,1.355
E10,2020,8,1.345
E10,2020,9,1.343
E10,2020,10,1.345
E10,2020,11,1.34
E10,2020,12,1.366
E10,2021,1,1.408
E10,2021,2,1.452
E10,2021,3,1.503
E10,2021,4,1.514
E10,2021,5,1.521
E10,2021,6,1.531
E10,2021,7,1.568
E10,2021,8,1.572
E10,2021,9,1.577
E10,2021,10,1.632
E10,2021,11,1.652
E10,2021,12,1.618
E85,2007,1,0.79
E85,2007,2,0.79
E85,2007,3,0.792
E85,2007,4,0.804
E85,2007,5,0.808
E85,2007,6,0.816
E85,2007,7,0.824
E85,2007,8,0.827
E85,2007,9,0.828
E85,2007,10,0.828
E85,2007,11,0.828
E85,2007,12,0.83
E85,2008,1,0.828
E85,2008,2,0.835
E85,2008,3,0.836
E85,2008,4,0.838
E85,2008,5,0.844
E85,2008,6,0.847
E85,2008,7,0.854
E85,2008,8,0.865
E85,2008,9,0.875
E85,2008,10,0.877
E85,2008,11,0.871
E85,2008,12,0.869
E85,2009,1,0.854
E85,2009,2,0.85
E85,2009,3,0.86
E85,2009,4,0.856
E85,2009,5,0.853
E85,2009,6,0.869
E85,2009,7,0.943
E85,2009,8,0.994
E85,2009,9,1.027
E85,2009,10,1.043
E85,2009,11,1.062
E85,2009,12,1.07
E85,2010,1,0.959
E85,2010,2,1.003
E85,2010,3,1.046
E85,2010,4,1.085
E85,2010,5,1.1
E85,2010,6,1.119
E85,2010,7,1.138
E85,2010,8,1.147
E85,2010,9,1.152
E85,2010,10,1.157
E85,2010,11,1.157
E85,2010,12,1.16
E85,2011,1,0.88
E85,2011,2,0.893
E85,2011,3,0.896
E85,2011,4,0.9
E85,2011,5,0.906
E85,2011,6,0.907
E85,2011,7,0.904
E85,2011,8,0.906
E85,2011,9,0.907
E85,2011,10,0.909
E85,2011,11,0.911
E85,2011,12,0.915
E85,2012,1,0.919
E85,2012,2,0.929
E85,2012,3,0.924
E85,2012,4,0.929
E85,2012,5,0.924
E85,2012,6,0.92
E85,2012,7,0.919
E85,2012,8,0.925
E85,2012,9,0.92
E85,2012,10,0.921
E85,2012,11,0.923
E85,2012,12,0.923
E85,2013,1,0.931
E85,2013,2,0.94
E85,2013,3,0.948
E85,2013,4,0.941
E85,2013,5,0.932
E85,2013,6,0.93
E85,2013,7,0.925
E85,2013,8,0.927
E85,2013,9,0.925
E85,2013,10,0.929
E85,2013,11,0.927
E85,2013,12,0.925
E85,2014,1,0.902
E85,2014,2,0.899
E85,2014,3,0.901
E85,2014,4,0.89
E85,2014,5,0.887
E85,2014,6,0.879
E85,2014,7,0.868
E85,2014,8,0.86
E85,2014,9,0.864
E85,2014,10,0.867
E85,2014,11,0.875
E85,2014,12,0.902
E85,2015,1,0.868
E85,2015,2,0.872
E85,2015,3,0.881
E85,2015,4,0.897
E85,2015,5,0.903
E85,2015,6,0.898
E85,2015,7,0.892
E85,2015,8,0.92
E85,2015,9,0.933
E85,2015,10,0.926
E85,2015,11,0.922
E85,2015,12,0.913
E85,2016,1,0.716
E85,2016,2,0.736
E85,2016,3,0.751
E85,2016,4,0.767
E85,2016,5,0.788
E85,2016,6,0.8
E85,2016,7,0.846
E85,2016,8,0.857
E85,2016,9,0.862
E85,2016,10,0.858
E85,2016,11,0.858
E85,2016,12,0.862
E85,2017,1,0.687
E85,2017,2,0.71
E85,2017,3,0.708
E85,2017,4,0.713
E85,2017,5,0.719
E85,2017,6,0.725
E85,2017,7,0.726
E85,2017,8,0.735
E85,2017,9,0.754
E85,2017,10,0.758
E85,2017,11,0.759
E85,2017,12,0.76
E85,2018,1,0.691
E85,2018,2,0.687
E85,2018,3,0.687
E85,2018,4,0.689
E85,2018,5,0.698
E85,2018,6,0.708
E85,2018,7,0.709
E85,2018,8,0.716
E85,2018,9,0.718
E85,2018,10,0.722
E85,2018,11,0.778
E85,2018,12,0.794
E85,2019,1,0.677
E85,2019,2,0.668
E85,2019,3,0.673
E85,2019,4,0.69
E85,2019,5,0.695
E85,2019,6,0.698
E85,2019,7,0.771
E85,2019,8,0.768
E85,2019,9,0.772
E85,2019,10,0.771
E85,2019,11,0.773
E85,2019,12,0.778
E85,2020,1,0.697
E85,2020,2,0.69
E85,2020,3,0.698
E85,2020,4,0.695
E85,2020,5,0.703
E85,2020,6,0.713
E85,2020,7,0.712
E85,2020,8,0.707
E85,2020,9,0.708
E85,2020,10,0.708
E85,2020,11,0.708
E85,2020,12,0.715
E85,2021,1,0.678
E85,2021,2,0.678
E85,2021,3,0.684
E85,2021,4,0.685
E85,2021,5,0.685
E85,2021,6,0.754
E85,2021,7,0.738
E85,2021,8,0.743
E85,2021,9,0.742
E85,2021,10,0.754
E85,2021,11,0.765
E85,2021,12,0.768
GPLc,2007,1,
GPLc,2007,2,
GPLc,2007,3,
GPLc,2007,4,
GPLc,2007,5,
GPLc,2007,6,
GPLc,2007,7,
GPLc,2007,8,
GPLc,2007,9,
GPLc,2007,10,
GPLc,2007,11,0.727
GPLc,2007,12,0.733
GPLc,2008,1,0.743
GPLc,2008,2,0.742
GPLc,2008,3,0.742
GPLc,2008,4,0.742
GPLc,2008,5,0.745
GPLc,2008,6,0.758
GPLc,2008,7,0.765
GPLc,2008,8,0.778
GPLc,2008,9,0.78
GPLc,2008,10,0.781
GPLc,2008,11,0.77
GPLc,2008,12,0.74
GPLc,2009,1,0.701
GPLc,2009,2,0.695
GPLc,2009,3,0.681
GPLc,2009,4,0.656
GPLc,2009,5,0.648
GPLc,2009,6,0.647
GPLc,2009,7,0.647
GPLc,2009,8,0.65
GPLc,2009,9,0.661
GPLc,2009,10,0.662
GPLc,2009,11,0.67
GPLc,2009,12,0.682
GPLc,2010,1,0.7
GPLc,2010,2,0.704
GPLc,2010,3,0.697
GPLc,2010,4,0.696
GPLc,2010,5,0.707
GPLc,2010,6,0.715
GPLc,2010,7,0.732
GPLc,2010,8,0.741
GPLc,2010,9,0.748
GPLc,2010,10,0.757
GPLc,2010,11,0.77
GPLc,2010,12,0.799
GPLc,2011,1,0.813
GPLc,2011,2,0.812
GPLc,2011,3,0.82
GPLc,2011,4,0.822
GPLc,2011,5,0.83
GPLc,2011,6,0.837
GPLc,2011,7,0.842
GPLc,2011,8,0.846
GPLc,2011,9,0.847
GPLc,2011,10,0.846
GPLc,2011,11,0.846
GPLc,2011,12,0.847
GPLc,2012,1,0.846
GPLc,2012,2,0.859
GPLc,2012,3,0.879
GPLc,2012,4,0.885
GPLc,2012,5,0.886
GPLc,2012,6,0.884
GPLc,2012,7,0.873
GPLc,2012,8,0.872
GPLc,2012,9,0.868
GPLc,2012,10,0.877
GPLc,2012,11,0.883
GPLc,2012,12,0.887
GPLc,2013,1,0.899
GPLc,2013,2,0.898
GPLc,2013,3,0.901
GPLc,2013,4,0.899
GPLc,2013,5,0.888
GPLc,2013,6,0.883
GPLc,2013,7,0.876
GPLc,2013,8,0.873
GPLc,2013,9,0.873
GPLc,2013,10,0.869
GPLc,2013,11,0.869
GPLc,2013,12,0.873
GPLc,2014,1,0.878
GPLc,2014,2,0.878
GPLc,2014,3,0.875
GPLc,2014,4,0.873
GPLc,2014,5,0.872
GPLc,2014,6,0.869
GPLc,2014,7,0.866
GPLc,2014,8,0.864
GPLc,2014,9,0.864
GPLc,2014,10,0.865
GPLc,2014,11,0.861
GPLc,2014,12,0.854
GPLc,2015,1,0.84
GPLc,2015,2,0.825
GPLc,2015,3,0.818
GPLc,2015,4,0.817
GPLc,2015,5,0.82
GPLc,2015,6,0.814
GPLc,2015,7,0.802
GPLc,2015,8,0.8
GPLc,2015,9,0.791
GPLc,2015,10,0.782
GPLc,2015,11,0.776
GPLc,2015,12,0.77
GPLc,2016,1,0.755
GPLc,2016,2,0.75
GPLc,2016,3,0.744
GPLc,2016,4,0.734
GPLc,2016,5,0.735
GPLc,2016,6,0.739
GPLc,2016,7,0.736
GPLc,2016,8,0.732
GPLc,2016,9,0.733
GPLc,2016,10,0.732
GPLc,2016,11,0.735
GPLc,2016,12,0.74
GPLc,2017,1,0.745
GPLc,2017,2,0.758
GPLc,2017,3,0.769
GPLc,2017,4,0.775
GPLc,2017,5,0.773
GPLc,2017,6,0.772
GPLc,2017,7,0.768
GPLc,2017,8,0.765
GPLc,2017,9,0.772
GPLc,2017,10,0.777
GPLc,2017,11,0.788
GPLc,2017,12,0.8
GPLc,2018,1,0.844
GPLc,2018,2,0.843
GPLc,2018,3,0.841
GPLc,2018,4,0.838
GPLc,2018,5,0.841
GPLc,2018,6,0.851
GPLc,2018,7,0.852
GPLc,2018,8,0.855
GPLc,2018,9,0.865
GPLc,2018,10,0.878
GPLc,2018,11,0.878
GPLc,2018,12,0.885
GPLc,2019,1,0.885
GPLc,2019,2,0.874
GPLc,2019,3,0.875
GPLc,2019,4,0.882
GPLc,2019,5,0.889
GPLc,2019,6,0.891
GPLc,2019,7,0.887
GPLc,2019,8,0.887
GPLc,2019,9,0.889
GPLc,2019,10,0.888
GPLc,2019,11,0.892
GPLc,2019,12,0.897
GPLc,2020,1,0.894
GPLc,2020,2,0.895
GPLc,2020,3,0.888
GPLc,2020,4,0.882
GPLc,2020,5,0.879
GPLc,2020,6,0.878
GPLc,2020,7,0.879
GPLc,2020,8,0.877
GPLc,2020,9,0.878
GPLc,2020,10,0.881
GPLc,2020,11,0.882
GPLc,2020,12,0.882
GPLc,2021,1,0.881
GPLc,2021,2,0.878
GPLc,2021,3,0.882
GPLc,2021,4,0.882
GPLc,2021,5,0.884
GPLc,2021,6,0.885
GPLc,2021,7,0.888
GPLc,2021,8,0.892
GPLc,2021,9,0.895
GPLc,2021,10,0.905
GPLc,2021,11,0.914
GPLc,2021,12,0.924
Gazole,2007,1,1.024
Gazole,2007,2,1.03
Gazole,2007,3,1.047
Gazole,2007,4,1.071
Gazole,2007,5,1.077
Gazole,2007,6,1.09
Gazole,2007,7,1.1
Gazole,2007,8,1.1
Gazole,2007,9,1.117
Gazole,2007,10,1.135
Gazole,2007,11,1.213
Gazole,2007,12,1.218
Gazole,2008,1,1.212
Gazole,2008,2,1.217
Gazole,2008,3,1.276
Gazole,2008,4,1.303
Gazole,2008,5,1.4
Gazole,2008,6,1.454
Gazole,2008,7,1.443
Gazole,2008,8,1.355
Gazole,2008,9,1.321
Gazole,2008,10,1.238
Gazole,2008,11,1.136
Gazole,2008,12,1.021
Gazole,2009,1,0.996
Gazole,2009,2,0.983
Gazole,2009,3,0.959
Gazole,2009,4,0.981
Gazole,2009,5,0.983
Gazole,2009,6,1.028
Gazole,2009,7,1.014
Gazole,2009,8,1.045
Gazole,2009,9,1.028
Gazole,2009,10,1.037
Gazole,2009,11,1.059
Gazole,2009,12,1.05
Gazole,2010,1,1.094
Gazole,2010,2,1.096
Gazole,2010,3,1.133
Gazole,2010,4,1.17
Gazole,2010,5,1.184
Gazole,2010,6,1.179
Gazole,2010,7,1.157
Gazole,2010,8,1.155
Gazole,2010,9,1.16
Gazole,2010,10,1.185
Gazole,2010,11,1.198
Gazole,2010,12,1.236
Gazole,2011,1,1.297
Gazole,2011,2,1.326
Gazole,2011,3,1.386
Gazole,2011,4,1.394
Gazole,2011,5,1.357
Gazole,2011,6,1.346
Gazole,2011,7,1.352
Gazole,2011,8,1.344
Gazole,2011,9,1.36
Gazole,2011,10,1.371
Gazole,2011,11,1.406
Gazole,2011,12,1.403
Gazole,2012,1,1.431
Gazole,2012,2,1.448
Gazole,2012,3,1.472
Gazole,2012,4,1.463
Gazole,2012,5,1.431
Gazole,2012,6,1.373
Gazole,2012,7,1.4
Gazole,2012,8,1.458
Gazole,2012,9,1.422
Gazole,2012,10,1.421
Gazole,2012,11,1.401
Gazole,2012,12,1.389
Gazole,2013,1,1.405
Gazole,2013,2,1.435
Gazole,2013,3,1.422
Gazole,2013,4,1.382
Gazole,2013,5,1.359
Gazole,2013,6,1.358
Gazole,2013,7,1.375
Gazole,2013,8,1.381
Gazole,2013,9,1.397
Gazole,2013,10,1.362
Gazole,2013,11,1.349
Gazole,2013,12,1.365
Gazole,2014,1,1.352
Gazole,2014,2,1.355
Gazole,2014,3,1.341
Gazole,2014,4,1.337
Gazole,2014,5,1.335
Gazole,2014,6,1.338
Gazole,2014,7,1.333
Gazole,2014,8,1.328
Gazole,2014,9,1.322
Gazole,2014,10,1.292
Gazole,2014,11,1.265
Gazole,2014,12,1.178
Gazole,2015,1,1.136
Gazole,2015,2,1.194
Gazole,2015,3,1.23
Gazole,2015,4,1.227
Gazole,2015,5,1.257
Gazole,2015,6,1.24
Gazole,2015,7,1.206
Gazole,2015,8,1.149
Gazole,2015,9,1.132
Gazole,2015,10,1.129
Gazole,2015,11,1.125
Gazole,2015,12,1.061
Gazole,2016,1,1.046
Gazole,2016,2,1.044
Gazole,2016,3,1.086
Gazole,2016,4,1.094
Gazole,2016,5,1.147
Gazole,2016,6,1.181
Gazole,2016,7,1.144
Gazole,2016,8,1.123
Gazole,2016,9,1.132
Gazole,2016,10,1.172
Gazole,2016,11,1.169
Gazole,2016,12,1.214
Gazole,2017,1,1.288
Gazole,2017,2,1.289
Gazole,2017,3,1.274
Gazole,2017,4,1.274
Gazole,2017,5,1.244
Gazole,2017,6,1.214
Gazole,2017,7,1.206
Gazole,2017,8,1.226
Gazole,2017,9,1.254
Gazole,2017,10,1.274
Gazole,2017,11,1.301
Gazole,2017,12,1.307
Gazole,2018,1,1.414
Gazole,2018,2,1.398
Gazole,2018,3,1.394
Gazole,2018,4,1.422
Gazole,2018,5,1.474
Gazole,2018,6,1.487
Gazole,2018,7,1.472
Gazole,2018,8,1.474
Gazole,2018,9,1.498
Gazole,2018,10,1.542
Gazole,2018,11,1.506
Gazole,2018,12,1.449
Gazole,2019,1,1.419
Gazole,2019,2,1.457
Gazole,2019,3,1.482
Gazole,2019,4,1.493
Gazole,2019,5,1.505
Gazole,2019,6,1.452
Gazole,2019,7,1.449
Gazole,2019,8,1.44
Gazole,2019,9,1.459
Gazole,2019,10,1.468
Gazole,2019,11,1.468
Gazole,2019,12,1.485
Gazole,2020,1,1.497
Gazole,2020,2,1.432
Gazole,2020,3,1.333
Gazole,2020,4,1.254
Gazole,2020,5,1.205
Gazole,2020,6,1.237
Gazole,2020,7,1.267
Gazole,2020,8,1.262
Gazole,2020,9,1.237
Gazole,2020,10,1.232
Gazole,2020,11,1.241
Gazole,2020,12,1.281
Gazole,2021,1,1.324
Gazole,2021,2,1.367
Gazole,2021,3,1.407
Gazole,2021,4,1.398
Gazole,2021,5,1.413
Gazole,2021,6,1.439
Gazole,2021,7,1.465
Gazole,2021,8,1.459
Gazole,2021,9,1.478
Gazole,2021,10,1.567
Gazole,2021,11,1.585
Gazole,2021,12,1.556
SP95,2007,1,1.188
SP95,2007,2,1.199
SP95,2007,3,1.248
SP95,2007,4,1.291
SP95,2007,5,1.331
SP95,2007,6,1.335
SP95,2007,7,1.33
SP95,2007,8,1.297
SP95,2007,9,1.3
SP95,2007,10,1.3
SP95,2007,11,1.357
SP95,2007,12,1.35
SP95,2008,1,1.37
SP95,2008,2,1.368
SP95,2008,3,1.388
SP95,2008,4,1.404
SP95,2008,5,1.459
SP95,2008,6,1.51
SP95,2008,7,1.499
SP95,2008,8,1.444
SP95,2008,9,1.437
SP95,2008,10,1.339
SP95,2008,11,1.206
SP95,2008,12,1.118
SP95,2009,1,1.119
SP95,2009,2,1.162
SP95,2009,3,1.162
SP95,2009,4,1.19
SP95,2009,5,1.222
SP95,2009,6,1.279
SP95,2009,7,1.25
SP95,2009,8,1.278
SP95,2009,9,1.256
SP95,2009,10,1.25
SP95,2009,11,1.275
SP95,2009,12,1.269
SP95,2010,1,1.316
SP95,2010,2,1.327
SP95,2010,3,1.369
SP95,2010,4,1.391
SP95,2010,5,1.392
SP95,2010,6,1.38
SP95,2010,7,1.36
SP95,2010,8,1.351
SP95,2010,9,1.351
SP95,2010,10,1.368
SP95,2010,11,1.383
SP95,2010,12,1.427
SP95,2011,1,1.479
SP95,2011,2,1.487
SP95,2011,3,1.531
SP95,2011,4,1.554
SP95,2011,5,1.557
SP95,2011,6,1.53
SP95,2011,7,1.53
SP95,2011,8,1.524
SP95,2011,9,1.542
SP95,2011,10,1.526
SP95,2011,11,1.523
SP95,2011,12,1.522
SP95,2012,1,1.571
SP95,2012,2,1.61
SP95,2012,3,1.658
SP95,2012,4,1.683
SP95,2012,5,1.622
SP95,2012,6,1.569
SP95,2012,7,1.582
SP95,2012,8,1.643
SP95,2012,9,1.613
SP95,2012,10,1.588
SP95,2012,11,1.537
SP95,2012,12,1.542
SP95,2013,1,1.574
SP95,2013,2,1.633
SP95,2013,3,1.627
SP95,2013,4,1.593
SP95,2013,5,1.561
SP95,2013,6,1.565
SP95,2013,7,1.573
SP95,2013,8,1.579
SP95,2013,9,1.573
SP95,2013,10,1.526
SP95,2013,11,1.515
SP95,2013,12,1.531
SP95,2014,1,1.523
SP95,2014,2,1.529
SP95,2014,3,1.533
SP95,2014,4,1.543
SP95,2014,5,1.547
SP95,2014,6,1.557
SP95,2014,7,1.561
SP95,2014,8,1.534
SP95,2014,9,1.527
SP95,2014,10,1.5
SP95,2014,11,1.459
SP95,2014,12,1.374
SP95,2015,1,1.297
SP95,2015,2,1.353
SP95,2015,3,1.407
SP95,2015,4,1.428
SP95,2015,5,1.456
SP95,2015,6,1.463
SP95,2015,7,1.457
SP95,2015,8,1.403
SP95,2015,9,1.338
SP95,2015,10,1.324
SP95,2015,11,1.322
SP95,2015,12,1.301
SP95,2016,1,1.295
SP95,2016,2,1.272
SP95,2016,3,1.287
SP95,2016,4,1.325
SP95,2016,5,1.353
SP95,2016,6,1.377
SP95,2016,7,1.334
SP95,2016,8,1.311
SP95,2016,9,1.325
SP95,2016,10,1.355
SP95,2016,11,1.348
SP95,2016,12,1.384
SP95,2017,1,1.438
SP95,2017,2,1.442
SP95,2017,3,1.419
SP95,2017,4,1.428
SP95,2017,5,1.404
SP95,2017,6,1.379
SP95,2017,7,1.358
SP95,2017,8,1.371
SP95,2017,9,1.397
SP95,2017,10,1.393
SP95,2017,11,1.428
SP95,2017,12,1.43
SP95,2018,1,1.495
SP95,2018,2,1.494
SP95,2018,3,1.485
SP95,2018,4,1.512
SP95,2018,5,1.558
SP95,2018,6,1.572
SP95,2018,7,1.564
SP95,2018,8,1.57
SP95,2018,9,1.581
SP95,2018,10,1.585
SP95,2018,11,1.525
SP95,2018,12,1.473
SP95,2019,1,1.447
SP95,2019,2,1.475
SP95,2019,3,1.513
SP95,2019,4,1.582
SP95,2019,5,1.608
SP95,2019,6,1.558
SP95,2019,7,1.548
SP95,2019,8,1.534
SP95,2019,9,1.532
SP95,2019,10,1.533
SP95,2019,11,1.54
SP95,2019,12,1.552
SP95,2020,1,1.565
SP95,2020,2,1.528
SP95,2020,3,1.432
SP95,2020,4,1.322
SP95,2020,5,1.294
SP95,2020,6,1.343
SP95,2020,7,1.372
SP95,2020,8,1.366
SP95,2020,9,1.365
SP95,2020,10,1.366
SP95,2020,11,1.362
SP95,2020,12,1.385
SP95,2021,1,1.429
SP95,2021,2,1.475
SP95,2021,3,1.53
SP95,2021,4,1.542
SP95,2021,5,1.551
SP95,2021,6,1.562
SP95,2021,7,1.597
SP95,2021,8,1.604
SP95,2021,9,1.608
SP95,2021,10,1.664
SP95,2021,11,1.687
SP95,2021,12,1.656
SP98,2013,1,
SP98,2013,2,
SP98,2013,3,
SP98,2013,4,
SP98,2013,5,
SP98,2013,6,1.588
SP98,2013,7,1.617
SP98,2013,8,1.624
SP98,2013,9,1.619
SP98,2013,10,1.573
SP98,2013,11,1.562
SP98,2013,12,1.576
SP98,2014,1,1.569
SP98,2014,2,1.575
SP98,2014,3,1.576
SP98,2014,4,1.585
SP98,2014,5,1.59
SP98,2014,6,1.6
SP98,2014,7,1.606
SP98,2014,8,1.579
SP98,2014,9,1.572
SP98,2014,10,1.547
SP98,2014,11,1.51
SP98,2014,12,1.434
SP98,2015,1,1.342
SP98,2015,2,1.391
SP98,2015,3,1.447
SP98,2015,4,1.47
SP98,2015,5,1.5
SP98,2015,6,1.509
SP98,2015,7,1.502
SP98,2015,8,1.45
SP98,2015,9,1.383
SP98,2015,10,1.368
SP98,2015,11,1.367
SP98,2015,12,1.338
SP98,2016,1,1.334
SP98,2016,2,1.309
SP98,2016,3,1.323
SP98,2016,4,1.363
SP98,2016,5,1.392
SP98,2016,6,1.421
SP98,2016,7,1.372
SP98,2016,8,1.349
SP98,2016,9,1.361
SP98,2016,10,1.389
SP98,2016,11,1.385
SP98,2016,12,1.419
SP98,2017,1,1.478
SP98,2017,2,1.487
SP98,2017,3,1.467
SP98,2017,4,1.475
SP98,2017,5,1.453
SP98,2017,6,1.429
SP98,2017,7,1.41
SP98,2017,8,1.42
SP98,2017,9,1.445
SP98,2017,10,1.442
SP98,2017,11,1.478
SP98,2017,12,1.482
SP98,2018,1,1.541
SP98,2018,2,1.537
SP98,2018,3,1.526
SP98,2018,4,1.552
SP98,2018,5,1.599
SP98,2018,6,1.618
SP98,2018,7,1.608
SP98,2018,8,1.615
SP98,2018,9,1.626
SP98,2018,10,1.632
SP98,2018,11,1.562
SP98,2018,12,1.511
SP98,2019,1,1.49
SP98,2019,2,1.512
SP98,2019,3,1.552
SP98,2019,4,1.625
SP98,2019,5,1.652
SP98,2019,6,1.603
SP98,2019,7,1.591
SP98,2019,8,1.576
SP98,2019,9,1.575
SP98,2019,10,1.576
SP98,2019,11,1.584
SP98,2019,12,1.596
SP98,2020,1,1.605
SP98,2020,2,1.568
SP98,2020,3,1.472
SP98,2020,4,1.364
SP98,2020,5,1.334
SP98,2020,6,1.384
SP98,2020,7,1.415
SP98,2020,8,1.408
SP98,2020,9,1.408
SP98,2020,10,1.408
SP98,2020,11,1.409
SP98,2020,12,1.43
SP98,2021,1,1.477
SP98,2021,2,1.518
SP98,2021,3,1.575
SP98,2021,4,1.588
SP98,2021,5,1.595
SP98,2021,6,1.605
SP98,2021,7,1.643
SP98,2021,8,1.649
SP98,2021,9,1.653
SP98,2021,10,1.712
SP98,2021,11,1.734
SP98,2021,12,1.702
